school,count,circuit,address
Vassar College,1,Ninth,"Box 1, Raymond Avenue, Poughkeepsie, NY 12604-0002"
Virginia Military Institute,1,Ninth,"Smith Hall, Lexington, VA 24450-0304"
Washburn University,1,Ninth,"1700 SW College Avenue, Topeka, KS 66621-0001"
Washington and Lee University,1,Ninth,"204 West Washington Street, Lexington, VA 24450-2116"
Wellesley College,1,Ninth,"106 Central St, Wellesley, MA 02481-8203"
Whitman College,1,Ninth,"345 Boyer Ave, Walla Walla, WA 99362"
Williams College,1,Ninth,"880 Main St, Williamstown, MA 01267"
Columbia University,40,Second,"535 West 116th Street, New York, NY 10027"
Harvard University,35,Second,"Massachusetts Hall, Cambridge, MA 02138"
Yale University,35,Second,"105 Wall Street, New Haven, CT 06520"
Cornell University,11,Second,"300 Day Hall, Ithaca, NY 14853"
Fordham University,8,Second,"441 E Fordham Rd, Bronx, NY 10458"
University of Michigan,8,Second,"2074 Fleming Administration Building, Ann Arbor, MI 48109-1340"
Princeton University,7,Second,"One Nassau Hall, Princeton, NJ 08544-0015"
Dartmouth College,6,Second,"207 Parkhurst Hall, Hanover, NH 03755"
New York University,6,Second,"70 Washington Square South, New York, NY 10012-1091"
European University Institute,4,Second,
University of Virginia,4,Second,"1827 University Avenue, Charlottesville, VA 22904"
Georgetown University,3,Second,"37th and O St NW, Washington, DC 20057"
State University of New York at Albany,3,Second,"1400 Washington Avenue, Albany, NY 12222"
University of Cambridge,3,Second,
University of Chicago,3,Second,"5801 S Ellis Ave, Chicago, IL 60637"
University of Connecticut,3,Second,"352 Mansfield Rd. Unit 2048, Storrs, CT 06269-2048"
University of Pennsylvania,3,Second,"1 College Hall, Room 100, Philadelphia, PA 19104-6303"
Boston University,2,Second,"One Silber Way, 8th Floor, Boston, MA 02215"
New York Law School,2,Second,"185 W. Broadway, New York, NY 10013-2960"
Seminary of the Immaculate Conception,2,Second,"440 W Neck Rd, Huntington, NY 11743-1626"
Syracuse University,2,Second,"Crouse Hinds Hall, Suite 600, Syracuse, NY 13244-2130"
University of North Carolina,2,Second,"103 South Bldg Campus Box 9100, Chapel Hill, NC 27599"
University of Oxford,2,Second,
University of Rochester,2,Second,"Wallis Hall, Rochester, NY 14627"
Wellesley College,2,Second,"106 Central St, Wellesley, MA 02481-8203"
Amherst College,1,Second,"P.O. Box 5000, Amherst, MA 01002-5000"
Brooklyn College,1,Second,"2900 Bedford Ave, Brooklyn, NY 11210-2889"
Brooklyn Law School,1,Second,"250 Joralemon St, Brooklyn, NY 11201"
City College of New York,1,Second,"160 Convent Avenue, New York, NY 10031-9101"
College of William and Mary,1,Second,"Sadler Center, 200 Stadium Dr, Williamsburg, VA 23185"
College of the Holy Cross,1,Second,"One College Street, 119 Fenwick Hall, Worcester, MA 01610-2395"
Hamilton College,1,Second,"198 College Hill Rd, Clinton, NY 13323"
Howard University,1,Second,"2400 Sixth St NW, Washington, DC 20059-0001"
"Lincoln University, Pennsylvania",1,Second,"P. O. Box 179, Lincoln University, PA 19352-0999"
Ohio State University,1,Second,"1585 Neil Avenue, Columbus, OH 43210"
"Queens College, City University of New York",1,Second,"65 30 Kissena Blvd, Queens, NY 11367-0904"
St. Bonaventure University,1,Second,"Route 417, St. Bonaventure, NY 14778"
St. Francis College,1,Second,"180 Remsen Street, Brooklyn Heights, NY 11201-4398"
St. Joseph's University,1,Second,"5600 City Line Avenue, Philadelphia, PA 19131-1395"
St. Peter's College,1,Second,"2641 John F. Kennedy Blvd. W, Jersey City, NJ 07306"
Stanford University,1,Second,"450 Serra Mall, Stanford, CA 94305-2061"
Trinity College,1,Second,"300 Summit St, Hartford, CT 06106-3100"
Union College,1,Second,"310 College St, Barbourville, KY 40906-1499"
University of Massachusetts,1,Second,"181 Presidents Drive, Amherst, MA 01003"
Wesleyan University,1,Second,"229High St, Middletown, CT 06459"
Indiana University,21,Seventh,"107 S. Indiana Ave., Bloomington, IN 47405-7000"
Northwestern University,19,Seventh,"633 Clark St, Evanston, IL 60208"
University of Notre Dame,15,Seventh,"Main Building, Notre Dame, IN 46556"
University of Chicago,8,Seventh,"5801 S Ellis Ave, Chicago, IL 60637"
DePaul University,7,Seventh,"1 East Jackson Blvd., Chicago, IL 60604"
University of Wisconsin,7,Seventh,"780 Regent St, Madison, WI 53708-8680"
Yale University,7,Seventh,"105 Wall Street, New Haven, CT 06520"
Washington University in St. Louis,6,Seventh,"One Brookings Dr, Saint Louis, MO 63130"
Harvard University,5,Seventh,"Massachusetts Hall, Cambridge, MA 02138"
Marquette University,5,Seventh,"Clark Hall, Room 341 530 N. 16th Street PO Box 1881, Milwaukee, WI 53201-1881"
University of Illinois,5,Seventh,"601 E John Street, Champaign, IL 61820-5711"
Cornell University,3,Seventh,"300 Day Hall, Ithaca, NY 14853"
University of Iowa,2,Seventh,"101 Jessup Hall, Iowa City, IA 52242-1316"
University of Michigan,2,Seventh,"2074 Fleming Administration Building, Ann Arbor, MI 48109-1340"
University of Texas,2,Seventh,"110 Inner Campus Drive, Austin, TX 78712"
Wabash College,2,Seventh,"P.O. Box 352, Crawfordsville, IN 47933"
Boston University,1,Seventh,"One Silber Way, 8th Floor, Boston, MA 02215"
Brown University,1,Seventh,"1 Prospect St, Providence, RI 02912"
Bryn Mawr College,1,Seventh,"101 N Merion Avenue, Bryn Mawr, PA 19010"
Central YMCA College,1,Seventh,"211 W Wacker DrChicago, IL 60606"
Chicago-Kent College of Law,1,Seventh,"565 W Adams St, Chicago, IL 60661"
Elmhurst University,1,Seventh,"190 Prospect Ave, Elmhurst, IL 60126-3096"
Fordham University,1,Seventh,"441 E Fordham Rd, Bronx, NY 10458"
Haverford College,1,Seventh,"370 Lancaster Ave, Haverford, PA 19041-1392"
Illinois Wesleyan University,1,Seventh,"1312 Park Street, Bloomington, IL 61701"
Lake Forest College,1,Seventh,"555 N Sheridan Road, Lake Forest, IL 60045-2399"
Princeton University,1,Seventh,"One Nassau Hall, Princeton, NJ 08544-0015"
Rhodes College,1,Seventh,"2000 North Parkway, Memphis, TN 38112-1690"
"St. Joseph’s College, Rensselaer, Indiana",1,Seventh,"121 N LaSalle St, Chicago, IL 60602"
Swarthmore College,1,Seventh,"500 College Ave, Swarthmore, PA 19081"
Union College,1,Seventh,"310 College St, Barbourville, KY 40906-1499"
University of Virginia,1,Seventh,"1827 University Avenue, Charlottesville, VA 22904"
Wayne State University,1,Seventh,"656 West Kirby Street, Detroit, MI 48202"
Wittenberg College,1,Seventh,"Ward St at N Wittenberg Ave, Springfield, OH 45504"
University of Virginia,32,Sixth,"1827 University Avenue, Charlottesville, VA 22904"
Harvard University,31,Sixth,"Massachusetts Hall, Cambridge, MA 02138"
University of Michigan,28,Sixth,"2074 Fleming Administration Building, Ann Arbor, MI 48109-1340"
Yale University,14,Sixth,"105 Wall Street, New Haven, CT 06520"
Vanderbilt University,9,Sixth,"2101 West End Avenue, Nashville, TN 37240"
University of Cincinnati,6,Sixth,"2600 Clifton Ave, Cincinnati, OH 45221"
Case Western Reserve University,5,Sixth,"10900 Euclid Ave, Cleveland, OH 44106"
Samford University,5,Sixth,"800 Lakeshore Drive, Birmingham, AL 35229-2240"
Michigan State University,3,Sixth,"450 Administration Bldg., East Lansing, MI 48824-1046"
University of Akron,3,Sixth,"302 Buchtel Common, Akron, OH 44325-4702"
Wayne State University,3,Sixth,"656 West Kirby Street, Detroit, MI 48202"
Miami University,2,Sixth,"501 East High St, Oxford, OH 45056"
New York University,2,Sixth,"70 Washington Square South, New York, NY 10012-1091"
University of Chicago,2,Sixth,"5801 S Ellis Ave, Chicago, IL 60637"
University of Detroit Mercy,2,Sixth,"4001 W McNichols Rd, Detroit, MI 48221-3038"
University of Louisville,2,Sixth,"2301 S 3rd St, Louisville, KY 40292-0001"
University of Memphis,2,Sixth,"341 Administration Building, Memphis, TN 38152"
University of Tennessee,2,Sixth,"527 Andy Holt Tower, Knoxville, TN 37996-0184"
Western Michigan University,2,Sixth,"1903 West Michigan Avenue, Kalamazoo, MI 49008-5167"
Youngstown State University,2,Sixth,"One University Plaza, Youngstown, OH 44555-0001"
Barnard College,1,Sixth,"3009 Broadway, New York, NY 10027-6598"
Boston College,1,Sixth,"140 Commonwealth Ave, Chestnut Hill, MA 02467"
Centre College,1,Sixth,"600 W Walnut St, Danville, KY 40422-1394"
Davidson College,1,Sixth,"209 Ridge Road, Davidson, NC 28035"
"Douglas University, Chicago, Illinois",1,Sixth,"1498 South College Avenue PO Box 870 Rensselaer, IN 47978"
East Tennessee State University,1,Sixth,"1276 Gibreath Drive, Box 70300, Johnson City, TN 37614-1700"
Fisk University,1,Sixth,"1000 17th Ave N, Nashville, TN 37208-4501"
Georgetown University,1,Sixth,"37th and O St NW, Washington, DC 20057"
Hamilton College,1,Sixth,"198 College Hill Rd, Clinton, NY 13323"
Howard University,1,Sixth,"2400 Sixth St NW, Washington, DC 20059-0001"
Massachusetts Institute of Technology,1,Sixth,"77 Massachusetts Avenue, Cambridge, MA 02139-4307"
Middlebury College,1,Sixth,"Old Chapel, Middlebury, VT 05753"
Northwestern University,1,Sixth,"633 Clark St, Evanston, IL 60208"
Ohio Northern University,1,Sixth,"525 Main St, Ada, OH 45810-1599"
Ohio State University,1,Sixth,"1585 Neil Avenue, Columbus, OH 43210"
Ohio Wesleyan University,1,Sixth,"61 S Sandusky Street, Delaware, OH 43015-2370"
Otterbein University,1,Sixth,"1 South Grove Street, Westerville, OH 43081"
Princeton University,1,Sixth,"One Nassau Hall, Princeton, NJ 08544-0015"
Radcliffe College,1,Sixth,"52 Linnaean St, Cambridge, MA 02138"
Southern Methodist University,1,Sixth,"6425 Boaz St, Dallas, TX 75275-0221"
Stanford University,1,Sixth,"450 Serra Mall, Stanford, CA 94305-2061"
Swarthmore College,1,Sixth,"500 College Ave, Swarthmore, PA 19081"
Tufts University,1,Sixth,"Ballou Hall, 2nd Floor, Medford, MA 02155"
Union University,1,Sixth,"1050 Union University Dr, Jackson, TN 38305-3697"
University of Alabama,1,Sixth,"801 University Boulevard, Tuscaloosa, AL 35487-0100"
"University of California, Berkeley",1,Sixth,"200 California Hall, Berkeley, CA 94720-1500"
University of Kentucky,1,Sixth,"101 Main Building, Lexington, KY 40506-0032"
University of Maryland,1,Sixth,"Main Administration Building, College Park, MD 20742-0001"
University of North Carolina,1,Sixth,"103 South Bldg Campus Box 9100, Chapel Hill, NC 27599"
University of Northern Iowa,1,Sixth,"1222 W 27th St, Cedar Falls, IA 50614"
University of Notre Dame,1,Sixth,"Main Building, Notre Dame, IN 46556"
University of Pennsylvania,1,Sixth,"1 College Hall, Room 100, Philadelphia, PA 19104-6303"
University of Wisconsin,1,Sixth,"780 Regent St, Madison, WI 53708-8680"
Washington and Lee University,1,Sixth,"204 West Washington Street, Lexington, VA 24450-2116"
West Virginia State University,1,Sixth,"200 Erickson Alumni Ctr, Institute, WV 25112"
Williams College,1,Sixth,"880 Main St, Williamstown, MA 01267"
Harvard University,15,Tenth,"Massachusetts Hall, Cambridge, MA 02138"
University of Wyoming,9,Tenth,"1000 E. University Ave., Laramie, WY 82071"
University of Virginia,7,Tenth,"1827 University Avenue, Charlottesville, VA 22904"
University of Chicago,6,Tenth,"5801 S Ellis Ave, Chicago, IL 60637"
University of Colorado,6,Tenth,"17 UCB, Boulder, CO 80309-0017"
University of Denver,6,Tenth,"2199 S. University Blvd, Denver, CO 80208"
Southern University and A & M College,5,Tenth,"G. Leon Netterville Drive, Baton Rouge, LA 70813-0001"
University of Kansas,5,Tenth,"230 Strong Hall 1450 Jayhawk Blvd., Lawrence, KS 66045-7535"
University of Oklahoma,5,Tenth,"660 Parrington Oval, Room 110, Norman, OK 73019"
University of Utah,5,Tenth,"201 Presidents Circle, Salt Lake City, UT 84112-9008"
University of Michigan,4,Tenth,"2074 Fleming Administration Building, Ann Arbor, MI 48109-1340"
Montana State University,3,Tenth,"Culbertson Hall, 100, Bozeman, MT 59717"
Washburn University,3,Tenth,"1700 SW College Avenue, Topeka, KS 66621-0001"
Washington University in St. Louis,3,Tenth,"One Brookings Dr, Saint Louis, MO 63130"
Yale University,3,Tenth,"105 Wall Street, New Haven, CT 06520"
Columbia University,2,Tenth,"535 West 116th Street, New York, NY 10027"
Stanford University,2,Tenth,"450 Serra Mall, Stanford, CA 94305-2061"
University of Oxford,2,Tenth,
Adams State University,1,Tenth,"208 Edgemont Blvd, Alamosa, CO 81102"
Brigham Young University,1,Tenth,"Main Campus, Provo, UT 84602"
Creighton University,1,Tenth,"2500 California Plaza, Omaha, NE 68178"
Fordham University,1,Tenth,"441 E Fordham Rd, Bronx, NY 10458"
Georgetown University,1,Tenth,"37th and O St NW, Washington, DC 20057"
Michigan State University,1,Tenth,"450 Administration Bldg., East Lansing, MI 48824-1046"
New Mexico Military Institute,1,Tenth,"101 W.  College Blvd., Roswell, NM 88201-5173"
Northwestern University,1,Tenth,"633 Clark St, Evanston, IL 60208"
Smith College,1,Tenth,"College Hall 201, Northampton, MA 01063"
Texas Tech University,1,Tenth,"15th Street and Akron, P. O. Box 4219, MS 2019, Lubbock, TX 79409-5005"
University of Arizona,1,Tenth,"1401 E University, Tucson, AZ 85721-0066"
"University of California, Hastings College of the Law",1,Tenth,"200 McAllister St, San Francisco, CA 94102"
University of Nebraska,1,Tenth,"2504 9th Avenue, Kearney, NE 68849-1201"
University of New Mexico,1,Tenth,"University of New Mexico, Albuquerque, NM 87131"
University of Notre Dame,1,Tenth,"Main Building, Notre Dame, IN 46556"
Wake Forest University,1,Tenth,"1834 Wake Forest Road, Winston Salem, NC 27106"
"Westminster College, Fulton, Missouri",1,Tenth,"501 Westminster Ave, Fulton, MO 65251-1299"
Harvard University,25,Third,"Massachusetts Hall, Cambridge, MA 02138"
State University of New York at Buffalo,13,Third,"501 Capen Hall, Buffalo, NY 14260-1660"
University of Virginia,13,Third,"1827 University Avenue, Charlottesville, VA 22904"
Princeton University,10,Third,"One Nassau Hall, Princeton, NJ 08544-0015"
Temple University,10,Third,"1801 North Broad Street, Philadelphia, PA 19122-6096"
University of Maryland,9,Third,"Main Administration Building, College Park, MD 20742-0001"
Yale University,9,Third,"105 Wall Street, New Haven, CT 06520"
Duquesne University,8,Third,"Administration Bldg 600 Forbes Ave, Pittsburgh, PA 15282"
Columbia University,6,Third,"535 West 116th Street, New York, NY 10027"
Georgetown University,6,Third,"37th and O St NW, Washington, DC 20057"
Rutgers University,6,Third,"Old Queens Building, New Brunswick, NJ 08901-1281"
University of Pennsylvania,5,Third,"1 College Hall, Room 100, Philadelphia, PA 19104-6303"
University of Pittsburgh,5,Third,"4200 Fifth Ave, Pittsburgh, PA 15260"
Pennsylvania State University,3,Third,"201 Old Main Building, University Park, PA 16802-1589"
Crozer Theological Seminary,2,Third,"1100 Upland Ave, Chester, PA 19013"
Fordham University,2,Third,"441 E Fordham Rd, Bronx, NY 10458"
Hofstra University,2,Third,"100 Hofstra University, Hempstead, NY 11549"
Seton Hall University,2,Third,"400 South Orange Ave, South Orange, NJ 07079-2697"
Stanford University,2,Third,"450 Serra Mall, Stanford, CA 94305-2061"
University of Delaware,2,Third,"104 Hullihen Hall, Newark, DE 19716"
University of Michigan,2,Third,"2074 Fleming Administration Building, Ann Arbor, MI 48109-1340"
Amherst College,1,Third,"P.O. Box 5000, Amherst, MA 01002-5000"
Antioch College,1,Third,"One Morgan Place, Yellow Springs, OH 45387"
Brigham Young University,1,Third,"Main Campus, Provo, UT 84602"
Bucknell University,1,Third,"Dent Drive, Lewisburg, PA 17837"
Carleton College,1,Third,"One North College Street, Northfield, MN 55057-4001"
College of the Holy Cross,1,Third,"One College Street, 119 Fenwick Hall, Worcester, MA 01610-2395"
Cornell University,1,Third,"300 Day Hall, Ithaca, NY 14853"
Dartmouth College,1,Third,"207 Parkhurst Hall, Hanover, NH 03755"
Drake University,1,Third,"2507 University Ave, Des Moines, IA 50311-4505"
Drexel University,1,Third,"3141 Chestnut St, Philadelphia, PA 19104"
Franklin and Marshall College,1,Third,"College Ave, Lancaster, PA 17604-3003"
George Mason University,1,Third,"4400 University Dr, Fairfax, VA 22030-4444"
Gettysburg College,1,Third,"300 N Washington St, Gettysburg, PA 17325-1486"
Grove City College,1,Third,"100 Campus Dr, Grove City, PA 16127-2104"
Lehigh University,1,Third,"27 Memorial Drive West, Bethlehem, PA 18015"
Lycoming College,1,Third,"700 College Place, Williamsport, PA 17701-5192"
Moravian College,1,Third,"1200 Main St, Bethlehem, PA 18018-6650"
Mount Holyoke College,1,Third,"50 College Street, South Hadley, MA 01075-1496"
New York Law School,1,Third,"185 W. Broadway, New York, NY 10013-2960"
New York University,1,Third,"70 Washington Square South, New York, NY 10012-1091"
Smith College,1,Third,"College Hall 201, Northampton, MA 01063"
Southern Illinois University,1,Third,"Anthony Hall 116, Carbondale, IL 62901"
State University of New York at Cortland,1,Third,"PO Box 2000, Cortland, NY 13045-0900"
Syracuse University,1,Third,"Crouse Hinds Hall, Suite 600, Syracuse, NY 13244-2130"
Trinity College,1,Third,"300 Summit St, Hartford, CT 06106-3100"
Tufts University,1,Third,"Ballou Hall, 2nd Floor, Medford, MA 02155"
Tulane University,1,Third,"6823 Saint Charles Avenue, New Orleans, LA 70118-5698"
University of Dayton,1,Third,"300 College Pk, Dayton, OH 45469"
University of Maine,1,Third,"5703 Alumni Hall, Suite 200, Orono, ME 04469-5703"
University of Notre Dame,1,Third,"Main Building, Notre Dame, IN 46556"
University of Oxford,1,Third,
University of Scranton,1,Third,"800 Linden Street, Scranton, PA 18510-4501"
University of Southern California,1,Third,"University Park, Los Angeles, CA 90089-0012"
Villanova University,1,Third,"800 Lancaster Avenue, Villanova, PA 19085-1699"
Washington and Jefferson College,1,Third,"60 S Lincoln St, Washington, PA 15301-4801"
Wesleyan University,1,Third,"229High St, Middletown, CT 06459"
